Date,Close,Close_10d_ahead,RandomForest_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker,LinearRegression_Predicted_Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead,GradientBoosting_Predicted_Close_10d_ahead
2024-09-27,227.7899932861328,227.5500030517578,233.50339874267578,-0.025495970178484224,True,False,False,AAPL,,,
2024-09-30,233.0,231.3000030517578,238.9263005065918,-0.03191903712008286,True,False,False,AAPL,,,
2024-10-01,226.2100067138672,233.85000610351562,235.21329483032227,-0.005795967986376326,True,True,True,AAPL,,,
2024-10-02,226.77999877929688,231.77999877929688,231.3289030456543,0.0019500189025387284,True,True,True,AAPL,,,
2024-10-04,226.8000030517578,235.0,226.78659652709962,0.03621644135357413,False,True,False,AAPL,,,
2024-10-07,221.69000244140625,236.47999572753906,246.15389739990235,-0.03930021736217744,True,True,True,AAPL,,,
2024-10-08,225.77000427246094,235.86000061035156,237.91999954223633,-0.008658368089476504,True,True,True,AAPL,,,
2024-10-10,229.0399932861328,230.57000732421875,236.0000993347168,-0.02300885476661005,True,True,True,AAPL,,,
2024-10-11,227.5500030517578,231.41000366210938,233.04459579467775,-0.0070140743963379324,True,True,True,AAPL,,,
2024-10-15,233.85000610351562,233.6699981689453,233.50589935302733,0.0007027608997145184,False,False,True,AAPL,,,
2024-10-16,231.77999877929688,230.10000610351562,243.64040344238282,-0.055575336223202765,True,False,False,AAPL,,,
2024-10-17,232.14999389648438,225.91000366210938,226.74750122070313,-0.003693524974189598,False,False,True,AAPL,,,
2024-10-21,236.47999572753906,222.00999450683594,250.81240768432616,-0.11483647656594842,True,False,False,AAPL,,,
2024-10-22,235.86000061035156,223.4499969482422,237.7072981262207,-0.059978390610489395,True,False,False,AAPL,,,
2024-10-23,230.75999450683594,222.72000122070312,251.71349334716797,-0.1151844970284389,True,False,False,AAPL,,,
2024-10-24,230.57000732421875,227.47999572753906,242.94940017700196,-0.06367335930112439,True,False,False,AAPL,,,
2024-10-25,231.41000366210938,226.9600067138672,238.96730087280272,-0.05024659907476951,True,False,False,AAPL,,,
2024-10-28,233.39999389648438,224.22999572753906,229.51590255737304,-0.023030677922252628,False,False,True,AAPL,,,
2024-10-29,233.6699981689453,224.22999572753906,239.45369842529297,-0.06357681170877193,True,False,False,AAPL,,,
2024-10-30,230.10000610351562,225.1199951171875,233.09560256958008,-0.03421603567150876,True,False,False,AAPL,,,
2024-11-01,222.91000366210938,225.0,229.20219970703124,-0.018334028697815898,True,True,True,AAPL,,,
2024-11-04,222.00999450683594,228.02000427246094,230.3315982055664,-0.010035939276739635,True,True,True,AAPL,,,
2024-11-05,223.4499969482422,228.27999877929688,243.53850479125975,-0.06265336163183377,True,True,True,AAPL,,,
2024-11-06,222.72000122070312,229.0,234.45770294189452,-0.023277985211887463,True,True,True,AAPL,,,
2024-11-08,226.9600067138672,229.8699951171875,234.26939544677734,-0.01877923627710611,True,True,True,AAPL,,,
2024-11-11,224.22999572753906,232.8699951171875,249.78249786376952,-0.06770891832383724,True,True,True,AAPL,,,
2024-11-12,224.22999572753906,235.05999755859375,245.36620376586913,-0.04200336496671589,True,True,True,AAPL,,,
2024-11-13,225.1199951171875,234.92999267578125,241.48569564819337,-0.027147375975274113,True,True,True,AAPL,,,
2024-11-14,228.22000122070312,237.3300018310547,232.29279907226564,0.02168471333983104,True,True,True,AAPL,,,
2024-11-15,225.0,239.58999633789062,246.34169509887695,-0.02740786028234613,True,True,True,AAPL,,,
2024-11-18,228.02000427246094,242.64999389648438,229.10850143432617,0.059105150517689824,True,True,True,AAPL,,,
2024-11-19,228.27999877929688,243.00999450683594,227.69450439453124,0.06726332790960654,False,True,False,AAPL,,,
2024-11-20,229.0,243.0399932861328,233.87150100708007,0.039203118975899426,True,True,True,AAPL,,,
2024-11-21,228.52000427246094,242.83999633789062,243.7157958984375,-0.003593528098243777,True,True,True,AAPL,,,
2024-11-22,229.8699951171875,246.75,240.22619552612304,0.027156923746759095,True,True,True,AAPL,,,
2024-11-25,232.8699951171875,247.77000427246094,237.40270111083984,0.04366969336537057,True,True,True,AAPL,,,
2024-11-26,235.05999755859375,246.49000549316406,227.93049758911133,0.08142617201454905,False,True,False,AAPL,,,
2024-11-27,234.92999267578125,247.9600067138672,238.86180480957032,0.038089814784537455,True,True,True,AAPL,,,
2024-11-29,237.3300018310547,248.1300048828125,232.45100524902344,0.06745077147329279,False,True,False,AAPL,,,
2024-12-02,239.58999633789062,251.0399932861328,227.40119766235352,0.10395193986127678,False,True,False,AAPL,,,
2024-12-05,243.0399932861328,249.7899932861328,229.2197981262207,0.0897400457031424,False,True,False,AAPL,,,
2024-12-09,246.75,255.27000427246094,243.4750991821289,0.048443989261953174,False,True,False,AAPL,,,
2024-12-10,247.77000427246094,258.20001220703125,229.37649627685548,0.1256602851557469,False,True,False,AAPL,,,
2024-12-11,246.49000549316406,259.0199890136719,233.95489715576173,0.10713642741670157,False,True,False,AAPL,,,
2024-12-12,247.9600067138672,255.58999633789062,243.97270278930665,0.04761718592188814,False,True,False,AAPL,,,
2024-12-13,248.1300048828125,252.1999969482422,237.02950500488282,0.06400254661564961,False,True,False,AAPL,,,
2024-12-18,248.0500030517578,243.36000061035156,232.58049819946288,0.04634740442272205,False,False,True,AAPL,,,
2024-12-20,254.49000549316406,242.2100067138672,249.84430313110352,-0.030556215697382944,False,False,True,AAPL,,,
2024-12-23,255.27000427246094,242.6999969482422,240.40909698486328,0.009529173363698237,False,False,True,AAPL,,,
2024-09-27,165.2899932861328,164.52000427246094,,-0.07234427414628576,True,False,False,GOOG,177.3502816694787,,
2024-09-30,167.19000244140625,166.35000610351562,,-0.05965153445855159,True,False,False,GOOG,176.90251241887447,,
2024-10-01,168.4199981689453,166.89999389648438,,-0.042290388775972715,True,False,False,GOOG,174.26993729672736,,
2024-10-02,167.30999755859375,166.74000549316406,,-0.06408688220515997,True,False,False,GOOG,178.15756860640013,,
2024-10-04,168.55999755859375,165.0500030517578,,-0.07563747229033672,True,False,False,GOOG,178.5554888953688,,
2024-10-07,164.38999938964844,165.8000030517578,,-0.07035168005146182,True,True,True,GOOG,178.3470152034867,,
2024-10-08,165.6999969482422,166.82000732421875,,-0.05909191180453976,True,True,True,GOOG,177.29681508441266,,
2024-10-10,163.17999267578125,164.52999877929688,,-0.0828921843435779,True,True,True,GOOG,179.40093407832768,,
2024-10-11,164.52000427246094,166.99000549316406,,-0.05395585081974377,True,True,True,GOOG,176.5139667507698,,
2024-10-15,166.89999389648438,171.13999938964844,,-0.0442911353086632,True,True,True,GOOG,179.07126920385022,,
2024-10-16,166.74000549316406,176.13999938964844,,-0.005176567243439777,True,True,True,GOOG,177.05654449813412,,
2024-10-17,164.50999450683594,172.69000244140625,,-0.03609105930989537,True,True,True,GOOG,179.15592972689922,,
2024-10-21,165.8000030517578,170.67999267578125,,-0.04371052208402561,True,True,True,GOOG,178.48151278182135,,
2024-10-22,166.82000732421875,171.41000366210938,,-0.03596184790113032,True,True,True,GOOG,177.80417018654458,,
2024-10-23,164.47999572753906,178.3300018310547,,-0.006787873611796649,True,True,True,GOOG,179.54875609458,,
2024-10-24,164.52999877929688,182.27999877929688,,0.02772544411118725,True,True,True,GOOG,177.36254349228355,,
2024-10-25,166.99000549316406,179.86000061035156,,0.016810299930761118,True,True,True,GOOG,176.88648573150664,,
2024-10-28,168.33999633789062,181.97000122070312,,0.05319658515435366,True,True,True,GOOG,172.77876114081218,,
2024-10-29,171.13999938964844,183.32000732421875,,0.02085253820247186,True,True,True,GOOG,179.57540434489255,,
2024-10-30,176.13999938964844,180.49000549316406,,0.04607609204893028,False,True,False,GOOG,172.5400349602117,,
2024-11-01,172.64999389648438,173.88999938964844,,-0.016928197411312896,True,True,True,GOOG,176.88433228554644,,
2024-11-04,170.67999267578125,176.8000030517578,,-0.015433386787767338,True,True,True,GOOG,179.57139789143642,,
