Date,Close,Close_10d_ahead,LinearRegression_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-07-31,222.0800018310547,221.72000122070312,225.35430638488913,-0.016127072175753626,True,False,False,AAPL
2024-08-01,218.36000061035156,224.72000122070312,223.2525632911461,0.006572994763976503,True,True,True,AAPL
2024-08-02,219.86000061035156,226.0500030517578,227.47221479962954,-0.006252243814148875,True,True,True,AAPL
2024-08-07,209.82000732421875,226.39999389648438,223.58550977023629,0.012587954063482667,True,True,True,AAPL
2024-08-08,213.30999755859375,224.52999877929688,221.08549421992797,0.015579966345247592,True,True,True,AAPL
2024-08-09,216.24000549316406,226.83999633789062,225.27146609164845,0.006962844755509524,True,True,True,AAPL
2024-08-13,221.27000427246094,228.02999877929688,223.93979244246938,0.018264758988192218,True,True,True,AAPL
2024-08-14,221.72000122070312,226.49000549316406,225.14876810065348,0.005957116282825824,True,True,True,AAPL
2024-08-15,224.72000122070312,229.7899932861328,224.45750887558316,0.023757211051938794,False,True,False,AAPL
2024-08-19,225.88999938964844,222.77000427246094,224.72050629468194,-0.00867967972474776,False,False,True,AAPL
2024-08-20,226.50999450683594,220.85000610351562,226.06481933657258,-0.023067778738685457,False,False,True,AAPL
2024-08-21,226.39999389648438,222.3800048828125,226.45412495805482,-0.017990928961867894,True,False,False,AAPL
2024-08-22,224.52999877929688,220.82000732421875,226.19245148673667,-0.02375165098218562,True,False,False,AAPL
2024-08-23,226.83999633789062,220.91000366210938,226.89375982331578,-0.02637250211669993,True,False,False,AAPL
2024-08-26,227.17999267578125,220.11000061035156,225.2165879563625,-0.02267411735675696,False,False,True,AAPL
2024-08-27,228.02999877929688,222.66000366210938,227.24821558478018,-0.02019031001349742,False,False,True,AAPL
2024-08-28,226.49000549316406,222.77000427246094,227.67178028945153,-0.021530011364424263,True,False,False,AAPL
2024-08-29,229.7899932861328,222.5,229.05616942224188,-0.02862254022137358,False,False,True,AAPL
2024-08-30,229.0,216.32000732421875,225.9789328634663,-0.04274259293490581,False,False,True,AAPL
2024-09-03,222.77000427246094,216.7899932861328,225.97284191827572,-0.04063695687583525,True,False,False,AAPL
2024-09-04,220.85000610351562,220.69000244140625,223.3950918461788,-0.012108992110870352,True,False,False,AAPL
2024-09-09,220.91000366210938,226.47000122070312,222.68492984846523,0.016997429394138147,True,True,True,AAPL
2024-09-10,220.11000061035156,227.3699951171875,223.738065075513,0.016232955444790805,True,True,True,AAPL
2024-09-11,222.66000366210938,226.3699951171875,223.64483284207316,0.012185223510344711,True,True,True,AAPL
2024-09-12,222.77000427246094,227.52000427246094,223.82297681129992,0.016517640475659894,True,True,True,AAPL
2024-09-13,222.5,227.7899932861328,224.48856239075727,0.014706454797589606,True,True,True,AAPL
2024-09-16,216.32000732421875,233.0,222.07118594079998,0.049213111610587064,True,True,True,AAPL
2024-09-17,216.7899932861328,226.2100067138672,221.01187727689916,0.02351968365236521,True,True,True,AAPL
2024-09-18,220.69000244140625,226.77999877929688,225.97927780728295,0.0035433380431314668,True,True,True,AAPL
2024-09-20,228.1999969482422,226.8000030517578,228.43527529204476,-0.007158580207003169,True,False,False,AAPL
2024-09-23,226.47000122070312,221.69000244140625,222.56102921259668,-0.003913653590981553,False,False,True,AAPL
2024-09-24,227.3699951171875,225.77000427246094,226.01847656559258,-0.001099345048720087,False,False,True,AAPL
2024-09-26,227.52000427246094,229.0399932861328,231.00974115794892,-0.008526687497863259,True,True,True,AAPL
2024-09-30,233.0,231.3000030517578,222.40017261032682,0.040017192149507094,False,False,True,AAPL
2024-10-01,226.2100067138672,233.85000610351562,228.160008329805,0.02493862888313771,True,True,True,AAPL
2024-10-03,225.6699981689453,232.14999389648438,225.79071359987194,0.028164490005916906,True,True,True,AAPL
