Date,Close,Close_10d_ahead,RandomForest_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-07-23,225.00999450683594,207.22999572753906,222.13560104370117,-0.0671013797253944,False,False,True,AAPL
2024-07-24,218.5399932861328,209.82000732421875,222.1674006652832,-0.055576980709546114,True,False,False,AAPL
2024-07-25,217.49000549316406,213.30999755859375,226.6542988586426,-0.05887512995450078,True,False,False,AAPL
2024-07-30,218.8000030517578,221.27000427246094,224.6586016845703,-0.015083319252859453,True,True,True,AAPL
2024-07-31,222.0800018310547,221.72000122070312,228.5298959350586,-0.029798703957274086,True,False,False,AAPL
2024-08-01,218.36000061035156,224.72000122070312,226.490597076416,-0.007817524782786014,True,True,True,AAPL
2024-08-05,209.27000427246094,225.88999938964844,223.34560119628907,0.011392201949494432,True,True,True,AAPL
2024-08-06,207.22999572753906,226.50999450683594,227.2050994873047,-0.003059372267776038,True,True,True,AAPL
2024-08-07,209.82000732421875,226.39999389648438,226.29169967651367,0.000478560283587554,True,True,True,AAPL
2024-08-09,216.24000549316406,226.83999633789062,226.4980030822754,0.0015099173103570048,True,True,True,AAPL
2024-08-12,217.52999877929688,227.17999267578125,227.26519577026366,-0.00037490603958794863,True,True,True,AAPL
2024-08-13,221.27000427246094,228.02999877929688,227.05189682006835,0.004307834345042449,True,True,True,AAPL
2024-08-14,221.72000122070312,226.49000549316406,220.9869990539551,0.02490194655236432,False,True,False,AAPL
2024-08-15,224.72000122070312,229.7899932861328,212.25749710083008,0.0826001268495791,False,True,False,AAPL
2024-08-16,226.0500030517578,229.0,217.42469985961915,0.053238202227504375,False,True,False,AAPL
2024-08-19,225.88999938964844,222.77000427246094,217.55589569091796,0.02396675376221781,False,False,True,AAPL
2024-08-20,226.50999450683594,220.85000610351562,221.38700241088867,-0.0024255999743670272,False,False,True,AAPL
2024-08-21,226.39999389648438,222.3800048828125,223.92269775390625,-0.006889399272909738,False,False,True,AAPL
2024-08-22,224.52999877929688,220.82000732421875,225.0661006164551,-0.018865983284938544,True,False,False,AAPL
2024-08-23,226.83999633789062,220.91000366210938,215.2655049133301,0.02622110194130669,False,False,True,AAPL
2024-08-26,227.17999267578125,220.11000061035156,224.10990005493164,-0.017847937300403346,False,False,True,AAPL
2024-08-29,229.7899932861328,222.5,220.7924021911621,0.007733951856547422,False,False,True,AAPL
2024-08-30,229.0,216.32000732421875,216.86219802856445,-0.002500162357822657,False,False,True,AAPL
2024-09-03,222.77000427246094,216.7899932861328,225.94019714355468,-0.04049834413310768,True,False,False,AAPL
2024-09-04,220.85000610351562,220.69000244140625,221.9673030090332,-0.005754453697961861,True,False,False,AAPL
2024-09-05,222.3800048828125,228.8699951171875,226.96930267333985,0.00837422691729891,True,True,True,AAPL
2024-09-06,220.82000732421875,228.1999969482422,225.98969635009766,0.009780537050328103,True,True,True,AAPL
2024-09-09,220.91000366210938,226.47000122070312,222.12290573120117,0.019570676311800674,True,True,True,AAPL
2024-09-10,220.11000061035156,227.3699951171875,226.92470108032228,0.001962298660063474,True,True,True,AAPL
2024-09-12,222.77000427246094,227.52000427246094,227.1540965270996,0.0016108348955867836,True,True,True,AAPL
2024-09-13,222.5,227.7899932861328,222.78190338134766,0.022479787760016294,True,True,True,AAPL
2024-09-16,216.32000732421875,233.0,225.01980041503907,0.03546443277543489,True,True,True,AAPL
2024-09-18,220.69000244140625,226.77999877929688,226.82910186767577,-0.00021647613985415533,True,True,True,AAPL
2024-09-20,228.1999969482422,226.8000030517578,222.9077963256836,0.017461061435408206,False,False,True,AAPL
2024-09-23,226.47000122070312,221.69000244140625,219.29390396118163,0.010926425390505926,False,False,True,AAPL
2024-09-25,226.3699951171875,229.5399932861328,229.98290008544922,-0.0019258249163387527,True,True,True,AAPL
